"Name";"ID"
"Outro";0
"Administrador";1
"Administrador de edifício";2
"Administrador de exploração agrícola";3
"Administradores";4
"Advogado";5
"Advogado direito do trabalho";6
"Agenciador de propaganda";7
"Agente administrativo";8
"Agente de compras";9
"Agente de venda de serviços as empresas";10
"Agente de viagem";11
"Agente publicitário";12
"Agente técnico de vendas";13
"Agentes administrativos";14
"Agentes de administração de empresas publicas e privadas";15
"Almoxarife";16
"Analista de cargos e salários";17
"Analista de comercialização";18
"Analista de comunicação";19
"Analista de importação e exportação";20
"Analista de ocupação";21
"Analista de organização e métodos";22
"Analista de pesquisa de mercado";23
"Analista de recursos humanos";24
"Analista de seguros";25
"Analista de sistemas";26
"Analista de suporte de sistema";27
"Apontador de mão de obra";28
"Apontador de produção";29
"Arquiteto";30
"Arquivista";31
"Assistente administrativo";32
"Assistente de patrimônio";33
"Assistente de vendas financeiro";34
"Assistente social";35
"Atendente de enfermagem";36
"Atleta profissional de futebol";37
"Auditor contábil";38
"Auditor geral";39
"Auxiliar de almoxarifado";40
"Auxiliar de biblioteca";41
"Auxiliar de contabilidade";42
"Auxiliar de enfermagem";43
"Auxiliar de escritório";44
"Auxiliar de farmácia";45
"Auxiliar de importação e exportação";46
"Auxiliar de laboratório de analises clinicas";47
"Auxiliar de laboratório de analises físico-químicas";48
"Auxiliar de pessoal";49
"Auxiliar de seguros";50
"Auxiliar de serviços jurídicos";51
"Auxiliares de contabilidade";52
"Auxiliares de escritório";53
"Babá";54
"Barman";55
"Bibliotecário";56
"Biologista";57
"Bioquímico";58
"Cabeleireiro";59
"Carteiro";60
"Chefe de administrativos";61
"Chefe de almoxarifado";62
"Chefe de contabilidade";63
"Chefe de contabilidade e finanças";64
"Chefe de contas a pagar";65
"Chefe de controle de patrimônio";66
"Chefe de escritório";67
"Chefe de escritório contabilidade";68
"Chefe de escritório credito e cobrança";69
"Chefe de escritório orçamento";70
"Chefe de escritório pessoal";71
"Chefe de escritório serviços gerais";72
"Chefe de escritório tesouraria";73
"Chefe de recepção hotel";74
"Chefe de serviço de transporte rodoviário";75
"Chefe de serviços de telecomunicações";76
"Cirurgião";77
"Cirurgião dentista";78
"Codificador de dados";79
"Comerciante varejista";80
"Comissário de bordo aeronaves";81
"Comprador comércio atacadista e varejista";82
"Condutor de caminhão basculante";83
"Condutores de automóveis";84
"Consultor jurídico";85
"Contador";86
"Contramestre de embarcação";87
"Contramestre industria têxtil";88
"Coordenador de ensino";89
"Correspondente comercial";90
"Cozinheiro chefe";91
